URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/condition-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.168",Condition/DiagnosisSeverity,Condition/Diagnosis Severity,"Preferred value set for Condition/Diagnosis severity grading.","StructureDefinition/bumblebee-diagnosis,StructureDefinition/bumblebee-notifiable-disease,StructureDefinition/bumblebee-problem","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,4.0.1,draft,"2.16.840.1.113883.4.642.3.170",ConditionStage,Condition Stage,"Example value set for stages of cancer and other conditions.","StructureDefinition/bumblebee-diagnosis,StructureDefinition/bumblebee-notifiable-disease,StructureDefinition/bumblebee-problem","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/bumblebee-diagnosis,StructureDefinition/bumblebee-notifiable-disease,StructureDefinition/bumblebee-problem","SCT"
http://hl7.org/fhir/ValueSet/condition-ver-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/bumblebee-diagnosis,StructureDefinition/bumblebee-problem","THO"
http://hl7.org/fhir/ValueSet/consent-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.753",ConsentActionCodes,Consent Action Codes,"This value set includes sample Consent Action codes.","StructureDefinition/bumblebee-consent","THO"
http://hl7.org/fhir/ValueSet/consent-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.751",ConsentCategoryCodes,Consent Category Codes,"This value set includes sample Consent Directive Type codes, including several consent directive related LOINC codes; HL7 VALUE SET: ActConsentType(2.16.840.1.113883.1.11.19897); examples of US realm consent directive legal descriptions and references to online and/or downloadable forms such as the SSA-827 Authorization to Disclose Information to the Social Security Administration; and other anticipated consent directives related to participation in a clinical trial, medical procedures, reproductive procedures; health care directive (Living Will); advance directive, do not resuscitate (DNR); Physician Orders for Life-Sustaining Treatment (POLST)","StructureDefinition/bumblebee-consent","LOINC,THO"
http://hl7.org/fhir/ValueSet/consent-content-class,4.0.1,draft,"2.16.840.1.113883.4.642.3.747",ConsentContentClass,Consent Content Class,"This value set includes the FHIR resource types, along with some other important content class codes","StructureDefinition/bumblebee-consent","hl7.fhir.r4.core,Other"
http://hl7.org/fhir/ValueSet/consent-content-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.748",ConsentContentCodes,Consent Content Codes,"This example value set contains all LOINC code","StructureDefinition/bumblebee-consent","LOINC"
http://hl7.org/fhir/ValueSet/consent-data-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.759",ConsentDataMeaning,ConsentDataMeaning,"How a resource reference is interpreted when testing consent restrictions.","StructureDefinition/bumblebee-consent","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/consent-policy,4.0.1,draft,"2.16.840.1.113883.4.642.3.1014",ConsentPolicyRuleCodes,Consent PolicyRule Codes,"This value set includes sample Regulatory consent policy types from the US and other regions.","StructureDefinition/bumblebee-consent","THO"
